EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label,KaggleSet,KaggleWeight
565509,-999.0,73.664,72.9,2.356,-999.0,-999.0,-999.0,2.115,2.356,83.31700000000001,1.119,-1.413,-999.0,39.323,1.5019999999999998,0.486,43.994,1.744,2.5869999999999997,39.885,-1.547,58.32899999999999,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,1.31398176137,b,v,2.38911966807
362322,80.242,72.236,60.956,22.173,0.861,260.47900000000004,0.076,2.435,32.535,334.56,1.155,-1.3880000000000001,0.004,29.19,0.081,0.145,33.705999999999996,-0.499,-2.221,44.534,1.661,369.934,3,128.256,0.9420000000000001,-1.459,111.92299999999999,0.081,2.041,271.665,0.22687007735599998,b,b,1.8477277457900003
674071,236.584,29.842,156.846,66.49600000000001,-999.0,-999.0,-999.0,3.139,4.7860000000000005,158.54399999999998,1.171,-0.335,-999.0,44.052,0.922,0.017,51.595,-1.337,-2.161,48.126000000000005,-2.77,217.05700000000002,1,62.897,-1.041,1.16,-999.0,-999.0,-999.0,62.897,0.38227622964599994,b,v,0.695065704665
723580,128.641,40.775999999999996,74.571,317.568,2.763,625.875,-1.544,0.9570000000000001,1.051,553.215,0.192,1.327,0.245,184.84799999999998,-0.922,-3.123,35.417,-1.034,2.21,110.90299999999999,2.873,591.164,2,184.562,1.985,-0.446,148.388,-0.777,0.163,332.95099999999996,0.000461281573949,s,b,0.0037887245431999996
893416,102.65,11.225,58.702,69.84100000000001,-999.0,-999.0,-999.0,2.269,57.468,100.79700000000001,1.1079999999999999,0.623,-999.0,25.27,-2.461,-3.0010000000000003,27.993000000000002,-1.0,1.547,47.446000000000005,1.238,220.09599999999997,1,47.534,0.425,-0.489,-999.0,-999.0,-999.0,47.534,0.6980640851919999,b,b,5.68533494403
336010,75.128,54.41,63.076,23.77,-999.0,-999.0,-999.0,1.919,23.77,76.531,1.179,-1.3630000000000002,-999.0,35.116,-0.257,0.035,41.415,0.061,-1.858,28.511999999999997,2.5980000000000003,144.407,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,1.33153133955,b,t,4.36696731064
860697,129.909,27.721999999999998,90.881,203.368,0.659,66.63,0.09699999999999999,1.578,2.795,355.76599999999996,4.047,1.272,0.0,29.699,-1.2109999999999999,-0.15,120.204,-2.09,-1.46,72.47800000000001,-1.162,279.601,2,164.37900000000002,-0.124,1.886,41.483999999999995,-0.784,2.167,205.863,0.366258400194,b,v,0.665941623564
706472,76.696,6.695,54.568999999999995,0.922,-999.0,-999.0,-999.0,3.12,0.922,54.556000000000004,1.016,-1.4140000000000001,-999.0,27.061,0.6729999999999999,1.401,27.495,0.644,-1.7619999999999998,1.143,-0.48200000000000004,121.397,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.005720682500879999,s,b,0.0469866810621
657527,-999.0,76.288,25.052,20.067,-999.0,-999.0,-999.0,0.934,20.067,56.196999999999996,1.35,-0.978,-999.0,23.913,2.248,0.7929999999999999,32.284,2.229,-0.141,45.071999999999996,2.983,96.40899999999999,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.6087049507360001,b,v,1.1067649587000001
488073,104.99799999999999,70.564,79.706,56.934,-999.0,-999.0,-999.0,2.205,2.5069999999999997,143.421,2.543,0.461,-999.0,25.105,0.765,-1.033,63.84,-0.308,0.893,23.412,-1.406,193.61900000000003,1,54.476000000000006,0.128,-3.043,-999.0,-999.0,-999.0,54.476000000000006,0.751983763172,b,v,1.3672786422799998
327415,157.82,13.617,110.991,22.569000000000003,-999.0,-999.0,-999.0,2.987,22.569000000000003,112.86200000000001,0.6679999999999999,1.395,-999.0,67.663,-0.602,0.163,45.199,-0.37,3.14,29.386999999999997,2.765,158.96200000000002,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.5127398896109999,b,t,1.68161144262
271272,117.93,2.434,83.69,41.126000000000005,0.893,87.749,-0.122,2.499,0.593,166.929,1.004,0.852,0.0,39.764,2.125,-2.1109999999999998,39.921,1.121,1.8840000000000001,16.025,1.787,196.62099999999998,2,51.537,0.16899999999999998,-1.244,35.708,-0.725,0.99,87.244,0.443597626883,b,t,1.4548484726800002
142821,142.517,75.06,115.663,96.79799999999999,0.6659999999999999,49.536,0.247,2.105,25.987,181.795,1.795,0.024,0.0,35.818000000000005,-0.155,-2.008,64.308,-2.116,-2.775,32.818000000000005,-0.863,273.056,2,45.446000000000005,-0.9309999999999999,0.469,36.222,-0.265,1.492,81.668,0.22687007735599998,b,t,0.7440562472300001
433530,-999.0,80.77199999999999,101.14,1.558,-999.0,-999.0,-999.0,2.858,1.558,53.812,1.567,-1.3840000000000001,-999.0,20.965,1.6740000000000002,-0.34700000000000003,32.846,-1.129,-0.9079999999999999,50.26,2.4530000000000003,92.696,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.909026977297,b,v,1.65281915938
118081,100.99600000000001,11.104000000000001,55.27,61.218999999999994,4.448,318.656,-4.562,2.688,2.164,126.506,1.209,1.307,0.8079999999999999,25.785999999999998,0.41100000000000003,1.459,31.175,0.408,-2.135,49.787,-2.418,152.761,2,38.054,-2.844,0.071,31.491,1.604,1.178,69.545,0.000461281573949,s,t,0.0015027048310099999
181755,179.78599999999997,156.675,159.858,96.234,2.456,205.785,-1.1320000000000001,2.1519999999999997,43.59,337.874,2.957,-1.4080000000000001,0.242,52.012,1.245,-0.191,153.79,0.85,1.9240000000000002,48.976000000000006,-2.1069999999999998,488.176,2,75.684,0.615,-1.16,56.388000000000005,-1.841,-0.9009999999999999,132.072,0.22687007735599998,b,t,0.7440562472300001
251256,87.78200000000001,55.888999999999996,66.857,73.619,-999.0,-999.0,-999.0,1.5830000000000002,6.587999999999999,167.653,0.7070000000000001,-0.163,-999.0,54.394,0.562,3.0039999999999996,38.465,1.107,1.518,23.024,-2.326,335.709,1,74.794,-0.435,-0.494,-999.0,-999.0,-999.0,74.794,0.005720682500879999,s,t,0.018636116672000002
